reporter_iso,partner_iso,quarter_t,export_usd,import_usd,bilateral_tariff
CHN,JPN,2023Q2,105.21936112225012,74.46794139980466,7.2556728174827
CHN,JPN,2023Q3,79.77805561124842,56.980019499014816,6.946021301049188
CHN,JPN,2023Q4,44.031833366751016,32.63163669941241,6.6523280615410645
CHN,JPN,2024Q1,,,
CHN,JPN,2024Q2,,,
CHN,JPN,2024Q3,,,
CHN,JPN,2024Q4,,,
CHN,KOR,2005Q1,,,
CHN,KOR,2005Q2,,,
CHN,KOR,2005Q3,,,
CHN,KOR,2005Q4,,,
CHN,KOR,2006Q1,,,
CHN,KOR,2006Q2,,,
CHN,KOR,2006Q3,,,
CHN,KOR,2006Q4,,,
CHN,KOR,2007Q1,,,
CHN,KOR,2007Q2,,,
CHN,KOR,2007Q3,,,
CHN,KOR,2007Q4,,,
CHN,KOR,2008Q1,,,
CHN,KOR,2008Q2,,,
CHN,KOR,2008Q3,,,
CHN,KOR,2008Q4,,,
CHN,KOR,2009Q1,,,
CHN,KOR,2009Q2,,,
CHN,KOR,2009Q3,,,
CHN,KOR,2009Q4,,,
CHN,KOR,2010Q1,92.73867474898388,72.63467603854791,
CHN,KOR,2010Q2,86.73258291497315,69.01800173091318,
CHN,KOR,2010Q3,79.88320408299461,65.04916284618264,
CHN,KOR,2010Q4,72.19053825304837,60.728159384356275,
CHN,KOR,2011Q1,58.02925544512732,51.347894516526765,
CHN,KOR,2011Q2,47.89814940312618,44.436638066466855,
CHN,KOR,2011Q3,52.671946978999415,48.465621774969975,
CHN,KOR,2011Q4,72.35064817274707,63.43484564203641,
CHN,KOR,2012Q1,130.7185785148023,102.20273613021084,
CHN,KOR,2012Q2,189.94433088242442,139.85252258859418,
CHN,KOR,2012Q3,207.32787618381133,151.0673932291918,
CHN,KOR,2012Q4,182.86921441896197,135.8473480520032,
CHN,KOR,2013Q1,158.1832770848141,120.38134150161113,
CHN,KOR,2013Q2,153.65214729356512,117.50113231187083,
CHN,KOR,2013Q3,137.85193510437557,107.43364540513016,
CHN,KOR,2013Q4,110.78264051724523,90.17888078138776,
CHN,KOR,2014Q1,88.82814289499424,75.25654516918212,
CHN,KOR,2014Q2,77.93818906729052,66.99933605145384,
CHN,KOR,2014Q3,64.7037730861482,58.053895441135865,
CHN,KOR,2014Q4,49.12489495156706,48.4202233382282,
CHN,KOR,2015Q1,32.40722916368122,36.543750879930485,
CHN,KOR,2015Q2,22.965163439670505,28.632691343972965,
CHN,KOR,2015Q3,23.800217137995787,29.345720232021222,
CHN,KOR,2015Q4,34.91239025865252,38.682837544075255,
CHN,KOR,2016Q1,64.34138829173116,57.57597715601082,
CHN,KOR,2016Q2,95.07979719312561,74.91636958524714,
CHN,KOR,2016Q3,110.58420445069714,84.2176962146184,
CHN,KOR,2016Q4,110.8546100644462,85.4799570441237,
CHN,KOR,2017Q1,117.49589747373784,90.9686533420736,
CHN,KOR,2017Q2,129.68676679951795,99.23385671120104,
CHN,KOR,2017Q3,125.411684662889,97.28510168456478,
CHN,KOR,2017Q4,104.67065106385508,85.12238826216071,
CHN,KOR,2018Q1,83.25764284674506,72.17962764190725,
CHN,KOR,2018Q2,73.52750430104015,65.88466731747394,
CHN,KOR,2018Q3,65.86368072714777,60.5175198377824,
CHN,KOR,2018Q4,60.26617212506699,56.078185202836266,
CHN,KOR,2019Q1,51.143104574322024,48.828449827045006,9.230363339927575
CHN,KOR,2019Q2,43.54190147590543,42.925044211464865,9.215241212955512
CHN,KOR,2019Q3,45.57814845079156,44.18454719221063,9.179886499252405
CHN,KOR,2019Q4,57.251845498980856,52.60695876927957,9.125786069943668
CHN,KOR,2020Q1,72.80250697099927,61.87235792515321,
CHN,KOR,2020Q2,88.65966757082333,70.44271245200025,
CHN,KOR,2020Q3,108.79858029991146,83.86892726342376,
CHN,KOR,2020Q4,133.21924515826595,102.15100235942282,
CHN,KOR,2021Q1,199.14563060728324,147.67176006484533,
CHN,KOR,2021Q2,275.0221393816046,197.96227343912733,
CHN,KOR,2021Q3,307.8470043871621,219.40525668714054,
CHN,KOR,2021Q4,297.6202256239503,212.00070980888677,
CHN,KOR,2022Q1,302.94459497314983,214.58346404292706,8.040658739605686
CHN,KOR,2022Q2,322.3926199691614,226.72693041054208,7.88087906613863
CHN,KOR,2022Q3,296.64776249800434,209.38298318380657,7.713009586798104
CHN,KOR,2022Q4,225.71002255968506,162.55162236272463,7.50879975020118
CHN,KOR,2023Q1,168.77436568207668,124.38300698666262,7.275436100120708
CHN,KOR,2023Q2,148.13875103532428,109.5982075570364,7.026300476685444
CHN,KOR,2023Q3,115.75719267662407,87.40760028518889,6.774774720024142
CHN,KOR,2023Q4,71.62969060597607,57.8111851711119,6.534240670265558
CHN,KOR,2024Q1,,,
CHN,KOR,2024Q2,,,
CHN,KOR,2024Q3,,,
CHN,KOR,2024Q4,,,
CHN,AUS,2005Q1,,,
CHN,AUS,2005Q2,,,
CHN,AUS,2005Q3,,,
CHN,AUS,2005Q4,,,
CHN,AUS,2006Q1,,,
CHN,AUS,2006Q2,,,
CHN,AUS,2006Q3,,,
CHN,AUS,2006Q4,,,
CHN,AUS,2007Q1,,,
CHN,AUS,2007Q2,,,
CHN,AUS,2007Q3,,,
CHN,AUS,2007Q4,,,
CHN,AUS,2008Q1,,,
CHN,AUS,2008Q2,,,
CHN,AUS,2008Q3,,,
CHN,AUS,2008Q4,,,
CHN,AUS,2009Q1,,,
CHN,AUS,2009Q2,,,
CHN,AUS,2009Q3,,,
CHN,AUS,2009Q4,,,
CHN,AUS,2010Q1,225.05039421954962,154.13070291618803,
CHN,AUS,2010Q2,197.8581570325827,136.06012986031342,
CHN,AUS,2010Q3,156.05138140651655,109.40846347206264,
CHN,AUS,2010Q4,99.63006734135115,74.17570375143589,
CHN,AUS,2011Q1,51.40334339219328,42.289560626588695,
CHN,AUS,2011Q2,32.9218414912533,28.356974930651063,
CHN,AUS,2011Q3,32.15174904953017,27.753707152030984,
CHN,AUS,2011Q4,49.0930660670233,40.47975729072925,
CHN,AUS,2012Q1,94.79940176434775,71.3323083641543,
CHN,AUS,2012Q2,139.86314187840412,100.29629227440603,
CHN,AUS,2012Q3,158.5268700570282,112.5669919551259,
CHN,AUS,2012Q4,150.79058630021996,108.14440740631369,
CHN,AUS,2013Q1,158.83980659601752,113.94592987462761,
CHN,AUS,2013Q2,173.3830705500245,123.7949460689822,
CHN,AUS,2013Q3,147.58913197700326,107.68575809717754,
CHN,AUS,2013Q4,81.45799087695468,65.61836595921272,
CHN,AUS,2014Q1,25.890234766183767,27.560048955911498,
CHN,AUS,2014Q2,14.856621792385113,17.25897975834164,
CHN,AUS,2014Q3,14.441943513100568,16.62196540121522,
CHN,AUS,2014Q4,24.64619992833059,25.64900588453156,
CHN,AUS,2015Q1,58.22116028560072,47.10186260111368,
CHN,AUS,2015Q2,97.1527107752172,68.96339326218595,
CHN,AUS,2015Q3,119.68202524480876,82.46326533053548,
CHN,AUS,2015Q4,125.80910369437333,87.60147880616478,
CHN,AUS,2016Q1,149.6774280469458,104.75321387921213,
CHN,AUS,2016Q2,179.57589916576035,124.62490711894816,
CHN,AUS,2016Q3,175.50548555940804,122.19459661986775,
CHN,AUS,2016Q4,137.4661872278857,97.46228238197182,
CHN,AUS,2017Q1,99.56631420908252,72.19066880041282,
CHN,AUS,2017Q2,85.61194719473679,62.444407317270816,
CHN,AUS,2017Q3,73.39781649282577,54.49311925842858,
CHN,AUS,2017Q4,62.923922103354926,48.33680462388793,
CHN,AUS,2018Q1,47.087175669453245,37.81248589212373,
CHN,AUS,2018Q2,35.444072436325314,29.6159213721553,
CHN,AUS,2018Q3,39.875948383436025,33.25796774001583,
CHN,AUS,2018Q4,60.38280351078538,48.73862499570532,
CHN,AUS,2019Q1,149.5717097838965,108.64870665426997,8.706295803373893
CHN,AUS,2019Q2,248.45745883862082,173.31935383762266,8.707714331622826
CHN,AUS,2019Q3,274.9403745273621,190.3253235916768,8.686951351759669
CHN,AUS,2019Q4,229.02045685012035,159.6666159164306,8.645695347068584
CHN,AUS,2020Q1,173.57670180551668,122.2092415575321,
CHN,AUS,2020Q2,158.1903661196866,111.30469966017972,
CHN,AUS,2020Q3,144.77308215708672,102.76272905132373,
CHN,AUS,2020Q4,133.3248499177098,96.58332973096458,
CHN,AUS,2021Q1,116.82738005711599,86.92823080443168,
CHN,AUS,2021Q2,103.3493823894305,78.44131417376957,
CHN,AUS,2021Q3,103.94350116615624,79.28279168466952,
CHN,AUS,2021Q4,118.60973638729683,89.45266333712925,
CHN,AUS,2022Q1,154.49358611043954,113.7858926120366,7.630804929480088
CHN,AUS,2022Q2,179.97533403806028,131.16734047618047,7.477485257139053
CHN,AUS,2022Q3,172.0996239638107,126.20447393207087,7.315773356839971
CHN,AUS,2022Q4,130.86645588768988,98.89729297971189,7.113588046183629
CHN,AUS,2023Q1,95.43071704006525,74.76385183168986,6.879090327710178
CHN,AUS,2023Q2,83.90089255110342,66.19207201870086,6.627476550977139
CHN,AUS,2023Q3,66.17633775551985,53.85786009350613,6.3739430655420355
CHN,AUS,2023Q4,42.25705265331271,37.76121605610297,6.133686220962389
CHN,AUS,2024Q1,,,
CHN,AUS,2024Q2,,,
CHN,AUS,2024Q3,,,
CHN,AUS,2024Q4,,,
CHN,SGP,2005Q1,,,
CHN,SGP,2005Q2,,,
CHN,SGP,2005Q3,,,
CHN,SGP,2005Q4,,,
CHN,SGP,2006Q1,,,
CHN,SGP,2006Q2,,,
CHN,SGP,2006Q3,,,
CHN,SGP,2006Q4,,,
CHN,SGP,2007Q1,,,
CHN,SGP,2007Q2,,,
CHN,SGP,2007Q3,,,
CHN,SGP,2007Q4,,,
CHN,SGP,2008Q1,,,
CHN,SGP,2008Q2,,,
CHN,SGP,2008Q3,,,
CHN,SGP,2008Q4,,,
CHN,SGP,2009Q1,,,
CHN,SGP,2009Q2,,,
CHN,SGP,2009Q3,,,
CHN,SGP,2009Q4,,,
CHN,SGP,2010Q1,31.813240898874774,22.305849555022654,
CHN,SGP,2010Q2,58.94165149812462,40.1209992583711,
CHN,SGP,2010Q3,78.14920529962492,52.82257485167421,
CHN,SGP,2010Q4,89.43590230337566,60.41057633493203,
CHN,SGP,2011Q1,140.2337991560776,93.98074231941095,
CHN,SGP,2011Q2,195.46320005412815,130.25368482580564,
CHN,SGP,2011Q3,190.15220044902551,126.4939712531974,
CHN,SGP,2011Q4,124.30080034076892,82.70160160158605,
CHN,SGP,2012Q1,59.31420913315969,39.5408902440339,
CHN,SGP,2012Q2,42.85538176967623,28.568618990610616,
CHN,SGP,2012Q3,37.35058631825848,24.898864373288575,
CHN,SGP,2012Q4,42.799822778905536,28.53162639206687,
CHN,SGP,2013Q1,48.12314460599646,32.08041057913192,
CHN,SGP,2013Q2,48.82528936340964,32.548504685063335,
CHN,SGP,2013Q3,53.73857237870698,35.824047052965625,
CHN,SGP,2013Q4,62.86299365188688,41.90703768283913,
CHN,SGP,2014Q1,85.52783916671888,57.145379138571684,
CHN,SGP,2014Q2,105.99664823675926,70.87711614585317,
CHN,SGP,2014Q3,107.0719045350204,71.42336850364086,
CHN,SGP,2014Q4,88.75360806150161,58.78413621193431,
CHN,SGP,2015Q1,59.247115333849024,38.801349717582525,
CHN,SGP,2015Q2,45.197749988932856,29.362891013054877,
CHN,SGP,2015Q3,51.72281732754209,33.5707706477358,
CHN,SGP,2015Q4,78.82231734967604,51.42498862162688,
CHN,SGP,2016Q1,202.73114147741876,134.4491460439158,
CHN,SGP,2016Q2,345.04419087377937,230.10686635155093,
CHN,SGP,2016Q3,390.3240246981809,260.60636015381783,
CHN,SGP,2016Q4,338.5706429506208,225.94762745071557,
CHN,SGP,2017Q1,296.9234245257803,197.94775397030025,
CHN,SGP,2017Q2,297.83949399011226,198.55823768645905,
CHN,SGP,2017Q3,250.40803473216602,166.93774185807933,
CHN,SGP,2017Q4,154.6290467519416,103.08626648516156,
CHN,SGP,2018Q1,67.72207123648423,45.148934902533256,
CHN,SGP,2018Q2,40.694742206402225,27.130522553699848,
CHN,SGP,2018Q3,41.83133548495971,27.888293825582878,
CHN,SGP,2018Q4,71.13185107215395,47.422248718184164,
CHN,SGP,2019Q1,257.5581422860123,172.11654687542978,
CHN,SGP,2019Q2,447.22098750805526,298.8312907543241,
CHN,SGP,2019Q3,434.213922611023,289.61237193944817,
CHN,SGP,2019Q4,218.53694759490918,144.45979043079797,
CHN,SGP,2020Q1,30.446484949615297,18.71340340007373,
CHN,SGP,2020Q2,15.280651535529614,9.321726888239937,
CHN,SGP,2020Q3,15.452083292959287,9.41916174408243,
CHN,SGP,2020Q4,30.96078022189613,19.00570796760394,
CHN,SGP,2021Q1,267.0243980059513,177.1905338069755,
CHN,SGP,2021Q2,551.2822795997181,368.40137147636915,
CHN,SGP,2021Q3,592.3364407968838,395.74291883469596,
CHN,SGP,2021Q4,390.1868815974467,259.2151758819591,
CHN,SGP,2022Q1,183.9092846863232,120.46495644728475,7.8
CHN,SGP,2022Q2,143.5641959450104,93.84463644357129,7.6
CHN,SGP,2022Q3,115.106205629344,74.88358999814409,7.4
CHN,SGP,2022Q4,98.5353137393231,63.58181711099951,7.2
CHN,SGP,2023Q1,90.52043627661078,58.11109041760574,7.0
CHN,SGP,2023Q2,80.7459931914891,51.70904550915566,6.8
CHN,SGP,2023Q3,67.38527845743738,42.82272754577389,6.6000000000000005
CHN,SGP,2023Q4,50.4382920744647,31.452136527464972,6.4
CHN,SGP,2024Q1,,,
CHN,SGP,2024Q2,,,
CHN,SGP,2024Q3,,,
CHN,SGP,2024Q4,,,
CHN,THA,2005Q1,,,
CHN,THA,2005Q2,,,
CHN,THA,2005Q3,,,
CHN,THA,2005Q4,,,
CHN,THA,2006Q1,,,
CHN,THA,2006Q2,,,
CHN,THA,2006Q3,,,
CHN,THA,2006Q4,,,
CHN,THA,2007Q1,,,
CHN,THA,2007Q2,,,
CHN,THA,2007Q3,,,
CHN,THA,2007Q4,,,
CHN,THA,2008Q1,,,
CHN,THA,2008Q2,,,
CHN,THA,2008Q3,,,
CHN,THA,2008Q4,,,
CHN,THA,2009Q1,,,
CHN,THA,2009Q2,,,
CHN,THA,2009Q3,,,
CHN,THA,2009Q4,,,
CHN,THA,2010Q1,5.2043747661948165,4.154250300424128,
CHN,THA,2010Q2,14.550207943658027,11.510833834040213,
CHN,THA,2010Q3,22.301666588731603,17.439541766808045,
CHN,THA,2010Q4,28.458750701415553,21.940374098727617,
CHN,THA,2011Q1,69.31783136666449,47.92465191175006,
CHN,THA,2011Q2,127.37721769747975,84.72875478851212,
CHN,THA,2011Q3,157.5896931654077,104.10955143838106,
CHN,THA,2011Q4,159.95525777044804,106.06704186135676,
CHN,THA,2012Q1,168.9989431526311,112.66707848297659,
CHN,THA,2012Q2,191.63000213571263,127.75461247441382,
CHN,THA,2012Q3,196.7780294915408,131.1862669957187,
CHN,THA,2012Q4,184.4430252201155,122.96204204689082,
CHN,THA,2013Q1,160.2866590325484,106.85659130494867,
CHN,THA,2013Q2,148.40991917892893,98.93801575914847,
CHN,THA,2013Q3,155.20163007319024,103.46571222709986,
CHN,THA,2013Q4,180.66179171533236,120.43968070880305,
CHN,THA,2014Q1,258.7555990320343,172.07553286484585,
CHN,THA,2014Q2,319.05297560102736,211.98963248717178,
CHN,THA,2014Q3,292.373688284496,194.77454981116216,
CHN,THA,2014Q4,178.71773708244245,120.43028483682019,
CHN,THA,2015Q1,70.47095540195141,48.91675325500091,
CHN,THA,2015Q2,43.369885483677535,30.42324717479778,
CHN,THA,2015Q3,42.896965040863506,30.084496959898388,
CHN,THA,2015Q4,69.05219407350751,47.90050261030274,
CHN,THA,2016Q1,143.5994876102841,96.96383778543668,
CHN,THA,2016Q2,226.55495426882362,150.8979722517879,
CHN,THA,2016Q3,276.16273332926994,183.42206723317622,
CHN,THA,2016Q4,292.4228247916226,194.53612272959936,
CHN,THA,2017Q1,342.07911114577473,228.051306880202,
CHN,THA,2017Q2,406.53154391952194,271.01987415084704,
CHN,THA,2017Q3,409.73621638687473,273.156783635322,
CHN,THA,2017Q4,351.69312854782856,234.46203533362905,
CHN,THA,2018Q1,277.41891140064763,184.94656079075958,
CHN,THA,2018Q2,244.1150211415743,162.7443260638729,
CHN,THA,2018Q3,235.3655548704619,156.91138263655648,
CHN,THA,2018Q4,251.1705125873159,167.44773050881122,
CHN,THA,2019Q1,285.3344498550641,189.93991284848016,
CHN,THA,2019Q2,303.11961698337745,201.607519869337,
CHN,THA,2019Q3,293.3525835641567,195.4738035104292,
CHN,THA,2019Q4,256.03334959740187,171.53876377175402,
CHN,THA,2020Q1,236.73040115848107,159.97814517287043,
CHN,THA,2020Q2,229.86266949928813,156.0340225122909,
CHN,THA,2020Q3,187.07113417040637,127.15168866970907,
CHN,THA,2020Q4,108.35579517182487,73.33114364512949,
CHN,THA,2021Q1,42.382864413852076,28.295057995036586,
CHN,THA,2021Q2,24.791249573781897,16.50112925288613,
CHN,THA,2021Q3,24.734192579964656,16.455535628925645,
CHN,THA,2021Q4,42.21169343240217,28.158277123151493,
CHN,THA,2022Q1,113.92108526772972,76.59541172421541,
CHN,THA,2022Q2,194.91442897217712,131.41617663069883,
CHN,THA,2022Q3,226.0204218522249,152.4591324532421,
CHN,THA,2022Q4,207.2390639078676,139.72427919184338,
CHN,THA,2023Q1,180.2102523092526,121.40657004990499,
CHN,THA,2023Q2,178.16781918785819,120.00753388334397,
CHN,THA,2023Q3,176.088783439307,118.58298191671929,
CHN,THA,2023Q4,173.9731450635809,117.13291415003187,
CHN,THA,2024Q1,,,
CHN,THA,2024Q2,,,
CHN,THA,2024Q3,,,
CHN,THA,2024Q4,,,
CHN,NZL,2005Q1,,,
CHN,NZL,2005Q2,,,
CHN,NZL,2005Q3,,,
CHN,NZL,2005Q4,,,
CHN,NZL,2006Q1,,,
CHN,NZL,2006Q2,,,
CHN,NZL,2006Q3,,,
CHN,NZL,2006Q4,,,
CHN,NZL,2007Q1,,,
CHN,NZL,2007Q2,,,
CHN,NZL,2007Q3,,,
CHN,NZL,2007Q4,,,
CHN,NZL,2008Q1,,,
CHN,NZL,2008Q2,,,
CHN,NZL,2008Q3,,,
CHN,NZL,2008Q4,,,
CHN,NZL,2009Q1,,,
CHN,NZL,2009Q2,,,
CHN,NZL,2009Q3,,,
CHN,NZL,2009Q4,,,
CHN,NZL,2010Q1,12.543850677576067,8.362567118384046,
CHN,NZL,2010Q2,33.54641779596012,22.364278530640075,
CHN,NZL,2010Q3,48.42128355919202,32.280855706128015,
CHN,NZL,2010Q4,57.1684479672718,38.11229864484787,
CHN,NZL,2011Q1,96.32300030719767,64.2154271283722,
CHN,NZL,2011Q2,147.06387079240181,98.04273651200185,
CHN,NZL,2011Q3,163.44543524260206,108.96365469181484,
CHN,NZL,2011Q4,145.46769365779846,96.9781816678111,
CHN,NZL,2012Q1,115.11326392566423,76.74149491536485,
CHN,NZL,2012Q2,104.90638568904478,69.93667677107123,
CHN,NZL,2012Q3,109.12656088169035,72.7500909278532,
CHN,NZL,2012Q4,127.77378950360071,85.18173738571079,
CHN,NZL,2013Q1,175.63004694894016,117.08633625903008,
CHN,NZL,2013Q2,213.2378232905894,142.1585890500519,
CHN,NZL,2013Q3,206.08638817082488,137.39112639551104,
CHN,NZL,2013Q4,154.17574158964567,102.78394829540707,
CHN,NZL,2014Q1,95.7119462379178,63.80805601448719,
CHN,NZL,2014Q2,73.29172925127841,48.86130592731092,
CHN,NZL,2014Q3,70.00739150668005,46.67162495641196,
CHN,NZL,2014Q4,85.85893300412363,57.23901310178985,
CHN,NZL,2015Q1,112.18791060677086,74.79072654983884,
CHN,NZL,2015Q2,130.36235417775924,86.90614736982684,
CHN,NZL,2015Q3,139.72472178549424,93.1477104099938,
CHN,NZL,2015Q4,140.2750134299754,93.51541567034042,
CHN,NZL,2016Q1,143.25492064460286,95.50342534467245,
CHN,NZL,2016Q2,149.60373380987267,99.73689320054768,
CHN,NZL,2016Q3,148.54940658263422,99.03423392793752,
CHN,NZL,2016Q4,140.09193896289025,93.39544752684242,
CHN,NZL,2017Q1,135.16221999128038,90.10834399948499,
CHN,NZL,2017Q2,132.95487496328542,88.63656138234228,
CHN,NZL,2017Q3,122.13632748600276,81.4241086914285,
CHN,NZL,2017Q4,102.70657755943148,68.4709859267441,
CHN,NZL,2018Q1,77.31721026561081,51.54477222495734,
CHN,NZL,2018Q2,62.41821532963377,41.612085855117584,
CHN,NZL,2018Q3,63.583002532011506,42.38865681508014,
CHN,NZL,2018Q4,80.81157187274403,53.87448510484501,
CHN,NZL,2019Q1,109.3306614623134,72.8876588718681,
CHN,NZL,2019Q2,134.89815184796043,89.933113093452,
CHN,NZL,2019Q3,155.16624519282414,103.44522711079162,
CHN,NZL,2019Q4,170.13494149690177,113.42400092388834,
CHN,NZL,2020Q1,195.93385523862344,130.62242702103185,
CHN,NZL,2020Q2,227.3352680956923,151.55593727269707,
CHN,NZL,2020Q3,245.59570642853578,163.72925512583333,
CHN,NZL,2020Q4,250.7151702371484,167.14238058043793,
CHN,NZL,2021Q1,273.01390380814337,182.00818852130078,
CHN,NZL,2021Q2,296.5677623801912,197.7106016939365,
CHN,NZL,2021Q3,283.094429286024,188.72870658631928,
CHN,NZL,2021Q4,232.59390452564185,155.06250319844366,
CHN,NZL,2022Q1,170.96205631409157,113.97543058723022,
CHN,NZL,2022Q2,140.66634893344235,93.7785855676293,
CHN,NZL,2022Q3,137.04464630967414,91.36407749019963,
CHN,NZL,2022Q4,160.09694844279238,106.7319063549412,
CHN,NZL,2023Q1,192.04686936592498,128.0312123695203,
CHN,NZL,2023Q2,213.49284784823067,142.32792084783068,
CHN,NZL,2023Q3,232.51048924115275,155.00585423915618,
CHN,NZL,2023Q4,249.09979354469033,166.06501254349314,
CHN,NZL,2024Q1,,,
CHN,NZL,2024Q2,,,
CHN,NZL,2024Q3,,,
CHN,NZL,2024Q4,,,
CHN,BRN,2005Q1,,,
CHN,BRN,2005Q2,,,
CHN,BRN,2005Q3,,,
CHN,BRN,2005Q4,,,
CHN,BRN,2006Q1,,,
CHN,BRN,2006Q2,,,
CHN,BRN,2006Q3,,,
CHN,BRN,2006Q4,,,
CHN,BRN,2007Q1,,,
CHN,BRN,2007Q2,,,
CHN,BRN,2007Q3,,,
CHN,BRN,2007Q4,,,
CHN,BRN,2008Q1,,,
CHN,BRN,2008Q2,,,
CHN,BRN,2008Q3,,,
CHN,BRN,2008Q4,,,
CHN,BRN,2009Q1,,,
CHN,BRN,2009Q2,,,
CHN,BRN,2009Q3,,,
CHN,BRN,2009Q4,,,
CHN,BRN,2010Q1,73.15579051637614,48.77215138733611,
CHN,BRN,2010Q2,64.65590086062691,43.10525231222685,
CHN,BRN,2010Q3,52.2500551721254,34.83405046244535,
CHN,BRN,2010Q4,35.93825345087154,23.95854583799168,
CHN,BRN,2011Q1,20.36871457290934,13.578325715078705,
CHN,BRN,2011Q2,13.231657042188345,8.820350257590349,
CHN,BRN,2011Q3,13.723971234639464,9.148512271255868,
CHN,BRN,2011Q4,21.845657150262866,14.562811756075064,
CHN,BRN,2012Q1,53.914221094327104,35.94278884192593,
CHN,BRN,2012Q2,88.13574447474662,58.758474081007336,
CHN,BRN,2012Q3,97.29576169020976,64.86534261954074,
CHN,BRN,2012Q4,81.39427274071659,54.26339445752603,
CHN,BRN,2013Q1,58.30061729016427,38.86654479448873,
CHN,BRN,2013Q2,50.33716927262242,33.55725984781202,
CHN,BRN,2013Q3,50.79577599122899,33.862857526661514,
CHN,BRN,2013Q4,59.676437445984334,39.783337831037784,
CHN,BRN,2014Q1,81.45155458550914,54.30005344159133,
