reporter,partner,year,export_usd,import_usd,trade_value,source,data_type,verification_status,currency,unit,bilateral_tariff,tariff_reduction,cumulative_reduction,distance_km,contiguity,common_language,gravity_score,reporter_gdp_billion,reporter_population_million,reporter_trade_percent_gdp,partner_gdp_billion,partner_population_million,partner_trade_percent_gdp,dataset_version,integration_timestamp,data_authenticity,hs_code,total_trade,trade_balance,gdp_reporter,gdp_partner,population_reporter,population_partner,product_description,data_source,collection_timestamp,reporter_iso,partner_iso,rep_exchange_rate,rep_GDP-CAP,rep_gdp_ppp_current_usd,rep_GDP-PPP-CAP,rep_gdp_current_usd,rep_GDP-VOL,rep_population,rep_total_exports_usd_k,rep_total_imports_usd_k,rep_tariff_ahs_weighted,rep_tariff_mfn_weighted,par_exchange_rate,par_GDP-CAP,par_gdp_ppp_current_usd,par_GDP-PPP-CAP,par_gdp_current_usd,par_GDP-VOL,par_population,par_total_exports_usd_k,par_total_imports_usd_k,par_tariff_ahs_weighted,par_tariff_mfn_weighted
China,Japan,2020,165.8,161.5,327.3,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.900767269,10299.194171,22996148.41,16125.131589,14687743.56,14235098.29,1426.106093,1943216340.33,2691026163.58,5.98,6.74,106.7745823,40026.961611,5042766.177,39925.453647,5055587.094,4737628.372,126.304543,593173166.59,721069676.57,4.09,6.33
China,Japan,2021,204.8,200.6,405.4,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.44897518,12492.984972,24939233.49,17483.582396,17820459.34,15437908.72,1426.437267,2419607092.09,3383435785.34,5.61,6.39,109.7543238,40059.256081,5171826.712,41150.970353,5034620.785,4858879.454,125.679338,704318189.05,850187993.81,3.69,6.0
China,Japan,2022,203.6,184.9,388.5,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,8.2,-1.6000000000000014,1.6000000000000014,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.737158112,12547.038618,25684612.7,18022.018599,17881783.09,15899314.09,1425.179569,12269820000.0,8410469999.999999,,,131.4981404,34051.945879,5221204.053,41770.441768,4256410.761,4905268.971,124.997578,9434580000.0,6289690000.0,,
China,Japan,2023,196.8,163.7,360.5,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,7.1,-1.0999999999999996,2.700000000000001,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,7.083998423,12508.765211,27030519.58,19000.988238,17794780.92,16732458.69,1422.584933,8071820000.0,5573590000.0,,,140.4911001,33874.026624,5321611.072,42788.217198,4212944.753,4999600.361,124.3709465,10194200000.0,6796150000.0,,
China,Korea,2010,68.4,138.4,206.8,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.7702690287,4503.8219208,11884961.31,8793.5038005,6087192.374,7357040.383,1351.561514,1333059090.43,1937911681.5,7.09,7.77,1156.46,23450.643722,1705335.547,34967.375184,1143672.241,1315022.521,48.7693325,382807012.58,468903832.31,4.7,5.85
China,Korea,2011,82.9,162.7,245.6,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.461461327,5551.5838494,13020073.2,9571.8190294,7551545.623,8059698.454,1360.250665,1616784547.02,2221071164.59,6.3,7.61,1108.233333,25510.881669,1768188.55,35991.723275,1253289.5,1363489.883,49.1276435,457837429.58,550285750.57,4.15,5.98
China,Korea,2012,87.7,168.6,256.3,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.3123328268,6230.0521088,14043935.27,10254.634032,8532186.353,8693490.556,1369.520865,1624172572.65,2304480905.73,6.08,7.3,1126.8066667,25767.286475,1810669.827,36505.74955,1278046.574,1396248.149,49.5995795,461077465.08,559096089.75,4.54,6.46
China,Korea,2013,91.2,184.5,275.7,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.195758346,6940.1118887,15134607.87,10974.996099,9570470.1,9368639.773,1379.008041,1748337327.91,2397123775.55,5.94,7.23,1094.9825,27373.698389,1867972.252,37306.347289,1370632.955,1440435.336,50.0711645,466392231.85,582607822.91,4.42,6.56
China,Korea,2014,100.3,190.2,290.5,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.143434094,7547.5412128,16258469.72,11714.000231,10475624.71,10064333.83,1387.951972,1741960455.31,2529204919.96,6.01,6.88,1052.84,29373.095942,1927793.2,38144.622628,1484488.526,1486564.611,50.5390555,484579267.53,597335773.89,3.53,5.53
China,Korea,2015,90.3,174.5,264.8,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.227488673,7923.0013247,17403280.43,12465.335176,11061572.91,10772995.68,1396.134174,1537067593.05,2473581490.39,6.15,7.1,1130.9525,28754.932544,1981946.902,38873.967173,1466038.936,1528323.746,50.9839115,432866802.98,552012684.22,3.55,5.93
China,Korea,2016,93.5,158.9,252.4,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.6444778294,8000.6364249,18595190.74,13243.941371,11233314.63,11510813.17,1404.052632,1525797542.12,2396469750.69,6.11,6.85,1160.7675,29234.756341,2040352.534,39774.629376,1499679.824,1573361.64,51.297839,412454921.09,529762972.36,3.08,5.34
China,Korea,2017,102.8,177.4,280.2,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.758755086,8716.288978,19887035.12,14080.76508,12310491.94,12310491.94,1412.354727,1787239787.13,2647117289.59,5.5,6.61,1131.000833,31524.406803,2104820.24,40881.194531,1623074.136,1623074.136,51.4862705,475735384.66,613436693.25,3.26,5.72
China,Korea,2018,108.6,204.5,313.1,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.6159571774,9791.9798119,21229364.47,14960.698014,13894907.05,13141421.97,1419.008956,1987292151.09,2862195428.63,5.57,6.7,1100.1633333,33410.991006,2166015.864,41943.810345,1725373.445,1670263.455,51.640894,510250237.65,654131162.84,3.17,5.84
China,Korea,2019,107.8,185.6,293.4,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,9.2,0.0,0.0,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.9083850099,10031.446596,22526504.19,15824.504415,14279968.45,13944378.67,1423.520358,1924374506.81,2730865804.26,5.44,6.83,1165.3575,31900.553328,2214620.78,42779.851802,1651422.932,1707743.797,51.767846,484505254.22,593957679.71,3.08,5.6
China,Korea,2020,112.8,173.9,286.7,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.900767269,10299.194171,22996148.41,16125.131589,14687743.56,14235098.29,1426.106093,1943216340.33,2691026163.58,5.98,6.74,1180.265833,31707.692502,2198909.92,42402.127027,1644312.785,1695628.8,51.8584815,466456375.49,580512852.86,2.94,5.36
China,Korea,2021,148.4,213.5,361.9,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.44897518,12492.984972,24939233.49,17483.582396,17820459.34,15437908.72,1426.437267,2419607092.09,3383435785.34,5.61,6.39,1143.951667,35072.099576,2293567.162,44236.02797,1818432.16,1768621.124,51.8483975,599607208.16,731208977.99,2.57,4.98
China,Korea,2022,155.8,200.1,355.9,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,7.8,-1.3999999999999997,1.3999999999999997,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,6.737158112,12547.038618,25684612.7,18022.018599,17881783.09,15899314.09,1425.179569,12269820000.0,8410469999.999999,,,1291.446667,32325.904316,2353490.552,45449.52502,1673916.512,1814829.396,51.7825115,7368370000.0,4912260000.0,,
China,Korea,2023,142.8,181.2,324.0,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,6.9,-0.8999999999999995,2.299999999999999,954.0,0.0,0.0,-0.6860663671448287,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,KOR,7.083998423,12508.765211,27030519.58,19000.988238,17794780.92,16732458.69,1422.584933,8071820000.0,5573590000.0,,,1305.6625,33098.246143,2385421.141,46096.217746,1712792.501,1839451.789,51.748739,8042610000.0,5361740000.0,,
China,Australia,2010,27.2,60.9,88.1,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.7702690287,4503.8219208,11884961.31,8793.5038005,6087192.374,7357040.383,1351.561514,1333059090.43,1937911681.5,7.09,7.77,1.0901594864,58772.871792,1039914.883,46966.605794,1301324.272,1168287.205,22.1415805,207856459.01,220529973.43,4.51,6.3
China,Australia,2011,33.9,79.6,113.5,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.461461327,5551.5838494,13020073.2,9571.8190294,7551545.623,8059698.454,1360.250665,1616784547.02,2221071164.59,6.3,7.61,0.969463201,68867.541468,1080663.008,48072.679019,1548126.837,1214065.484,22.479775,258002208.68,280827540.1,4.25,6.35
China,Australia,2012,37.7,84.5,122.2,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.3123328268,6230.0521088,14043935.27,10254.634032,8532186.353,8693490.556,1369.520865,1624172572.65,2304480905.73,6.08,7.3,0.9658010307,69658.716777,1108827.231,48520.741451,1591885.856,1245706.44,22.852644,267620134.91,276014920.35,4.97,6.83
China,Australia,2013,37.6,98.8,136.4,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.195758346,6940.1118887,15134607.87,10974.996099,9570470.1,9368639.773,1379.008041,1748337327.91,2397123775.55,5.94,7.23,1.035843097,66462.517511,1137738.803,48963.916262,1544341.035,1278187.002,23.2362705,254152356.16,273047221.42,5.22,7.08
China,Australia,2014,39.1,93.8,132.9,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.143434094,7547.5412128,16258469.72,11714.000231,10475624.71,10064333.83,1387.951972,1741960455.31,2529204919.96,6.01,6.88,1.109363293,62069.346868,1162789.651,49279.934664,1464563.512,1306330.253,23.5956005,245996985.03,267777740.11,4.06,6.24
China,Australia,2015,40.4,64.7,105.1,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.227488673,7923.0013247,17403280.43,12465.335176,11061572.91,10772995.68,1396.134174,1537067593.05,2473581490.39,6.15,7.1,1.331090262,52041.863534,1195105.234,49904.172966,1246298.652,1342635.034,23.948002,222282357.96,210429474.1,5.22,7.17
China,Australia,2016,40.1,68.5,108.6,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.6444778294,8000.6364249,18595190.74,13243.941371,11233314.63,11510813.17,1404.052632,1525797542.12,2396469750.69,6.11,6.85,1.345213976,53755.924824,1222816.251,50259.683954,1307879.662,1373766.839,24.329963,211932944.26,201875545.72,5.49,7.16
China,Australia,2017,45.2,76.4,121.6,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.758755086,8716.288978,19887035.12,14080.76508,12310491.94,12310491.94,1412.354727,1787239787.13,2647117289.59,5.5,6.61,1.304758077,57162.722504,1258355.732,50881.63734,1413693.491,1413693.491,24.7310385,243575836.34,258738467.99,4.69,6.72
China,Australia,2018,48.7,87.6,136.3,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.6159571774,9791.9798119,21229364.47,14960.698014,13894907.05,13141421.97,1419.008956,1987292151.09,2862195428.63,5.57,6.7,1.3384121465,58001.543728,1285801.843,51186.979202,1456981.697,1444527.689,25.1197055,253256026.01,281900650.2,4.18,6.29
China,Australia,2019,49.4,94.2,143.6,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,8.7,0.0,0.0,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.9083850099,10031.446596,22526504.19,15824.504415,14279968.45,13944378.67,1423.520358,1924374506.81,2730865804.26,5.44,6.83,1.4385065442,54139.598082,1281498.44,50288.930763,1379623.894,1439693.051,25.482714,238521519.42,295235899.15,5.11,7.76
China,Australia,2020,53.3,88.1,141.4,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.900767269,10299.194171,22996148.41,16125.131589,14687743.56,14235098.29,1426.106093,1943216340.33,2691026163.58,5.98,6.74,1.453085118,55841.143327,1308561.52,50830.179596,1437562.723,1470096.934,25.743791,225016351.05,265172649.93,3.39,5.5
China,Australia,2021,67.8,123.1,190.9,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.44897518,12492.984972,24939233.49,17483.582396,17820459.34,15437908.72,1426.437267,2419607092.09,3383435785.34,5.61,6.39,1.33122426,67524.270674,1364423.31,52565.933261,1752688.161,1532854.584,25.9564175,279420552.82,374899439.39,3.25,5.57
China,Australia,2022,78.9,142.8,221.7,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,7.4,-1.299999999999999,1.299999999999999,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,6.737158112,12547.038618,25684612.7,18022.018599,17881783.09,15899314.09,1425.179569,12269820000.0,8410469999.999999,,,1.441664459,67805.736689,1405587.798,53646.373402,1776577.056,1579100.624,26.2009845,3837070000.0,2558060000.0,,
China,Australia,2023,81.2,135.6,216.8,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,6.5,-0.9000000000000004,2.1999999999999993,4702.0,0.0,0.0,-0.8455743229100016,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,AUS,7.083998423,12508.765211,27030519.58,19000.988238,17794780.92,16732458.69,1422.584933,8071820000.0,5573590000.0,,,1.505191066,67824.825327,1434589.852,54235.496836,1794042.865,1611682.838,26.451124,5575490000.0,3716980000.0,,
China,Singapore,2010,32.3,28.4,60.7,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2798.0,0.0,0.0,-0.7936660155225426,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,SGP,6.7702690287,4503.8219208,11884961.31,8793.5038005,6087192.374,7357040.383,1351.561514,1333059090.43,1937911681.5,7.09,7.77,1.3635083333,47234.063172,396959.2275,78187.538482,239808.0,254682.8344,5.077014,283683816.14,219320306.12,3.42,4.45
China,Singapore,2015,51.9,27.6,79.5,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2798.0,0.0,0.0,-0.7936660155225426,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,SGP,6.227488673,7923.0013247,17403280.43,12465.335176,11061572.91,10772995.68,1396.134174,1537067593.05,2473581490.39,6.15,7.1,1.374825,55743.000046,493990.1056,89404.480141,307999.0,316936.3288,5.5253395,307870281.7,228530657.09,2.99,4.46
